Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,image,lat,lon,Class
Rodeway Inn Near Mount Rushmore Memorial Keystone,Keystone, SD ,57751,37,5,303 reviews,,43.90165071,-103.4132365,Economy Class
Rushmore View Inn,Keystone, SD ,57751,31,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88900798,-103.4243897,Midscale Class
Powder House Lodge,Keystone, SD ,57751,37,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.90770441,-103.4371616,Midscale Class
Keystone Boardwalk Inn,Keystone, SD ,57751,33,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.89164187,-103.4261583,Midscale Class
The Lodge @ Mount Rushmore,Keystone, SD ,57751,50,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,NA, NA,Upper Midscale Class
Rushmore Express Inn & Family Suites,Keystone, SD ,57751,88,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88723757,-103.424376,Upper Midscale Class
Ramada Keystone Near Mt Rushmore,Keystone, SD ,57751,90,7.6,990 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.89305673,-103.4244597,Midscale Class
The Magnuson Grand Rushmore View & RV Park,Keystone, SD ,57751,43,7.3,317 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88896881,-103.4244373,Upper Midscale Class
Brookside Motel,Keystone, SD ,57751,27,NA,NA,,43.89376368,-103.4181918,Economy Class
Ascend Collection K Bar S Lodge,Keystone, SD ,57751,96,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.89667891,-103.4347898,Upscale Class
Roosevelt Inn,Keystone, SD ,57751,40,8.3,"1,239 reviews",https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88768434,-103.4252867,Upscale Class
Dakota Winds Motel,Kimball, SD ,57355,26,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.74032104,-98.95743981,Economy Class
Lakota Prairie Ranch Resort,Kyle, SD ,57752,20,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.36952217,-102.2440412,Economy Class
Golden Hills Resort,Lead, SD ,57754,96,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,NA, NA,Midscale Class
Recreational Springs Resort,Lead, SD ,57754,24,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.29960066,-103.8085593,Midscale Class
Ponderosa Motor Lodge,Lead, SD ,57754,16,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.35702395,-103.7797633,Upper Midscale Class
Blackstone Lodge,Lead, SD ,57754,71,8.5,859 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.35458322,-103.7790046,Midscale Class
Spearfish Canyon Resort,Lead, SD ,57754,55,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.35202313,-103.931603,Upscale Class
Lemmon Country Inn,Lemmon, SD ,57638,30,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.93443903,-102.1340089,Economy Class
Golden Buffalo Casino & Resort,Lower Brule, SD ,57548,38,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.07162445,-99.57815593,Economy Class
AmericInn Lodge & Suites Madison,Madison, SD ,57042,38,8.4,97 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.99362738,-97.10741297,Midscale Class
Super 8 Madison,Madison, SD ,57042,34,7.4,51 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.00661378,-97.12995437,Economy Class
Crossroads Annex,Martin, SD ,57551,26,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.17197717,-101.731335,Economy Class
Crossroads Inn,Martin, SD ,57551,34,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.17197717,-101.731335,Economy Class
Super 8 Milbank,Milbank, SD ,57252,39,7.4,25 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.22435131,-96.61842843,Economy Class
GrandStay Hotel & Suites Milbank,Milbank, SD ,57252,46,NA,NA,,45.21222538,-96.63989534,Upper Midscale Class
Manor Motel,Milbank, SD ,57252,30,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.22237918,-96.62094592,Economy Class
Lantern Motel,Milbank, SD ,57252,29,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.21152873,-96.64138057,Economy Class
Dew Drop Inn Motel,Miller, SD ,57362,17,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.53124352,-98.99144219,Economy Class
Super 8 Miller,Miller, SD ,57362,21,6.1,38 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.52950491,-98.99035143,Economy Class
Quality Inn Rosebud Casino,Mission, SD ,57555,60,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,42.99917906,-100.5760119,Midscale Class
Rodeway Inn Mitchell ,Mitchell, SD ,57301,44,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69707951,-98.04742017,Economy Class
Budget Inn,Mitchell, SD ,57301,27,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.70232938,-98.04517584,Economy Class
Quality Inn Mitchell,Mitchell, SD ,57301,59,7.4,297 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/310544194.jpg?k=394a22ef405927490b2ca6b533cee127910647227714f0330a7111b0cfcff618&o=,43.69847028,-98.01910065,Midscale Class
Kelly Inn & Suites,Mitchell, SD ,57301,78,7.9,950 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.68969011,-98.0115971,Upper Midscale Class
AmericInn Mitchell,Mitchell, SD ,57301,52,7.8,164 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69583966,-98.01703812,Midscale Class
Comfort Inn & Suites Mitchell,Mitchell, SD ,57301,72,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.68993122,-98.00714136,Upper Midscale Class
Super 8 Mitchell,Mitchell, SD ,57301,105,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69400645,-98.0112706,Economy Class
Days Inn Mitchell,Mitchell, SD ,57301,68,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69572336,-98.01394727,Economy Class
Siesta Motel,Mitchell, SD ,57301,22,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.70275593,-98.04066553,Economy Class
Motel 6 Mitchell,Mitchell, SD ,57301,92,6.6,328 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69746598,-98.04745167,Economy Class
Thunderbird Lodge,Mitchell, SD ,57301,48,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69475242,-98.01624344,Economy Class
Holiday Inn Express & Suites Mitchell,Mitchell, SD ,57301,82,8.9,172 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.68822625,-98.01383005,Upper Midscale Class
Ramada Mitchell Hotel & Conference Center,Mitchell, SD ,57301,122,6.6,704 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.70125453,-98.04567683,Midscale Class
Coach Light,Mitchell, SD ,57301,20,NA,NA,,43.70242322,-98.03800637,Economy Class
Hampton Inn Mitchell,Mitchell, SD ,57301,75,9.4,16 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/3617392.jpg?k=809b8945917194ba71d1e72bbb41e292eb397fcf30e88ec35055e0be4fa13538&o=,43.69109241,-98.00805333,Upper Midscale Class
Corn Palace Motel,Mitchell, SD ,57301,36,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.69590599,-98.01761189,Economy Class
Corn Palace Inn,Mitchell, SD ,57301,77,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.70022926,-98.01895963,Midscale Class
Mo Rest Motel,Mobridge, SD ,57601,27,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.53788092,-100.4427699,Economy Class
Mobridge Kountry Inn,Mobridge, SD ,57601,30,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.54573197,-100.4520757,Economy Class
Wrangler Inn,Mobridge, SD ,57601,60,7.8,48 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,45.53813059,-100.4442679,Upper Midscale Class
Range Country Lodging,Murdo, SD ,57559,41,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88732908,-100.7167704,Economy Class
Best Western Graham's,Murdo, SD ,57559,45,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88611958,-100.7161537,Midscale Class
Super 8 Murdo,Murdo, SD ,57559,52,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88474451,-100.7063833,Economy Class
Anchor Inn,Murdo, SD ,57559,29,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88646357,-100.7123151,Economy Class
American Inn Express,Murdo, SD ,57559,21,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.88634167,-100.7093915,Economy Class
LandMark Country Inn,Murdo, SD ,57559,20,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.87639211,-100.708279,Economy Class
Sioux Motel,Murdo, SD ,57559,24,NA,NA,,43.88683743,-100.7102442,Economy Class
Days Inn North Sioux City,North Sioux City, SD ,57049,49,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,42.52571502,-96.50094633,Economy Class
Super 8 North Sioux City ,North Sioux City, SD ,57049,44,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,42.52525261,-96.50264229,Economy Class
Hampton Inn North Sioux City,North Sioux City, SD ,57049,65,8.4,136 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/181047620.jpg?k=a9871baa25b2bf2a95d0e744889cd3d0c49281071cc7678f809470968e6aae9d&o=,42.52416687,-96.50239617,Upper Midscale Class
Red Carpet Inn & Suites North Sioux City,North Sioux City, SD ,57049,33,6.4,93 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/292883022.jpg?k=2feebcf48e813fbf1775d259cea6d44afdf2b5266c6cf692e3931dd712401f95&o=,42.5255085,-96.50201289,Economy Class
Baymont Inn & Suites Oacoma,Oacoma, SD ,57365,53,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.80340625,-99.3803996,Midscale Class
Econo Lodge Oacoma,Oacoma, SD ,57365,43,6.9,201 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/140478700.jpg?k=b7a9c11c0ecaf81376be8766990330a4415d3b94c7f41b67b04f2097da972bd5&o=,43.80309834,-99.39032842,Economy Class
Quality Inn Oacoma,Oacoma, SD ,57365,50,7.7,124 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/169743585.jpg?k=812ff9ed3b7ed106726bfa3d8c22072540bf93bcca7b3f06527c433e24e3b91c&o=,43.80318482,-99.39596523,Midscale Class
Howard Johnson Inn & Suites Oacoma,Oacoma, SD ,57365,50,8,608 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.80219202,-99.39283987,Economy Class
Cedar Shore Resort,Oacoma, SD ,57365,99,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.82930611,-99.34295967,Upscale Class
Dakota Horizinn,Parkston, SD ,57366,44,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.39596314,-97.99686662,Economy Class
Motel West,Philip, SD ,57567,20,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.04462811,-101.6600048,Economy Class
Fort Randall Casino & Hotel,Pickstown, SD ,57367,57,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.08306342,-98.47557706,Economy Class
Fort Randall Inn,Pickstown, SD ,57367,17,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.06874079,-98.53851266,Economy Class
Dakota Inn,Pickstown, SD ,57367,25,7.1,23 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/54517581.jpg?k=fcade067ad564677bb88be1bd3f617a3450c2d3acf667c45a46166cfd5fa2b64&o=,43.07060652,-98.53025267,Economy Class
Elk Creek Resort & Lodge,Piedmont, SD ,57769,22,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.22728151,-103.3546224,Economy Class
Clubhouse Inn Hotel & Suites Pierre,Pierre, SD ,57501,79,8.2,77 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.37253578,-100.3628918,Upper Upscale Class
Baymont Inn & Suites Pierre,Pierre, SD ,57501,47,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.37115533,-100.3623017,Midscale Class
Econo Lodge Pierre,Pierre, SD ,57501,56,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36647766,-100.3519392,Economy Class
Pierre Inn & Suites,Pierre, SD ,57501,52,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36900099,-100.3544926,Economy Class
Quality Inn Pierre,Pierre, SD ,57501,58,7.1,242 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36954255,-100.358042,Midscale Class
Capitol Inn & Suites,Pierre, SD ,57501,142,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36247208,-100.3408186,Economy Class
Governor's Inn,Pierre, SD ,57501,82,7.9,275 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/161016012.jpg?k=2eb4b2e197bfe711c54534b3f378c9dff29a8a51841a84374b498af56661de5e&o=,44.37150237,-100.3614928,Economy Class
Ramkota Hotel & Conference Center,Pierre, SD ,57501,151,7.3,92 reviews,,44.37312054,-100.3642287,Upper Midscale Class
Days Inn Pierre,Pierre, SD ,57501,75,6.5,86 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.37075078,-100.35939,Economy Class
Terrace Motel,Pierre, SD ,57501,46,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.3701398,-100.349194,Economy Class
Super 8 Pierre,Pierre, SD ,57501,74,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.36912092,-100.3571425,Economy Class
Prairie Wind Casino & Hotel,Pine Ridge, SD ,57770,78,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.16211783,-102.9438525,Midscale Class
Rodeway Inn Plankinton,Plankinton, SD ,57368,33,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.70680181,-98.48680527,Economy Class
Dakota Country Inn,Platte, SD ,57369,30,8.9,30 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/237711271.jpg?k=6b04f7e9e091ffdeb39011683f2460c55342c1b75d9720ac080bfbd67cfdfe7a&o=,43.38506993,-98.83288616,Economy Class
King's Inn,Platte, SD ,57369,46,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.38469152,-98.84072646,Economy Class
Hutchs Motel,Presho, SD ,57568,28,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.9024728,-100.053649,Economy Class
GrandStay Residential Suites Rapid City,Rapid City, SD ,57701,53,7.9,615 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/98156118.jpg?k=9e51c7676e68728ef73a4d5a1903136aeb7b8c81ddbf866c41b6f7e0ead7e440&o=,44.10820259,-103.225693,Upper Midscale Class
Holiday Inn Rapid City Rushmore Plaza,Rapid City, SD ,57701,205,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.08761345,-103.2230756,Upper Midscale Class
Tru by Hilton Rapid City Rushmore,Rapid City, SD ,57701,98,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.100136,-103.1986253,Midscale Class
MainStay Suites Rapid City,Rapid City, SD ,57701,97,8.1,129 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/129181274.jpg?k=94ea6994918c807be1f41128f66d57bc4e0bc3d016ec685d39def7627447f62f&o=,44.1005864,-103.1610789,Midscale Class
Cambria hotel & suites Rapid City Near Mount Rushmore,Rapid City, SD ,57701,111,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10037509,-103.1599502,Upscale Class
Hampton Inn Rapid City,Rapid City, SD ,57701,82,8,91 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/92997315.jpg?k=92eb162bc8a0aa5d279b1f0042070a1b8250067e26b8ee31582a02a506922cbd&o=,44.10230768,-103.2004618,Upper Midscale Class
Comfort Inn & Suites Rapid City,Rapid City, SD ,57701,82,7.9,480 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/169744166.jpg?k=1fca08089e1ee6535704424c1f873e1307bb8ced92f66a4006f1815931e6cd2b&o=,44.05792784,-103.2340985,Upper Midscale Class
My Place Hotel Rapid City,Rapid City, SD ,57701,64,8.6,254 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/272486391.jpg?k=6681bc8e8ce6bcaae35b33f2fb1181e047078262fea7eddf9ccb78102a0674de&o=,44.10155544,-103.1546699,Upper Midscale Class
Staybridge Suites Rapid City Rushmore,Rapid City, SD ,57701,102,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.0979544,-103.1950657,Upscale Class
Hampton Inn & Suites Rapid City Rushmore,Rapid City, SD ,57701,121,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.09988018,-103.1981034,Upper Midscale Class
Howard Johnson Rapid City,Rapid City, SD ,57701,98,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.09023634,-103.2305955,Economy Class
Hilton Garden Inn Rapid City,Rapid City, SD ,57701,120,8.8,110 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/6160785.jpg?k=1818c6fbf86e6c6ffec61d0a154e8393e6fbd3a8049f61e3dcd76d174f5ba641&o=,44.10703255,-103.1978618,Upscale Class
Foothills Inn,Rapid City, SD ,57701,64,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.1011385,-103.2036407,Midscale Class
South Dakota Rose Inn,Rapid City, SD ,57701,65,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.08460271,-103.2132799,Economy Class
Time Inn Motel,Rapid City, SD ,57701,59,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.08728865,-103.2014106,Economy Class
Rodeway Inn Rapid City,Rapid City, SD ,57701,37,5.4,147 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/229051868.jpg?k=25404a41c3349eb0bb4a29db5fa730541037f55b0fc21146e48d0552149231f6&o=,44.09857557,-103.2020794,Economy Class
"Hotel Alex Johnson Rapid City, Curio Collection by Hilton",Rapid City, SD ,57701,143,8.4,423 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/49327236.jpg?k=c16e499b20986e0315296e60f0c3858667536be5111aa4b6bd41a4d8e53799e5&o=,44.08044661,-103.2274989,Upper Upscale Class
Budget Inn Motel,Rapid City, SD ,57701,26,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.08813786,-103.2014483,Economy Class
Price Motel,Rapid City, SD ,57701,27,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.0870706,-103.2053239,Economy Class
Fair Value Inn,Rapid City, SD ,57701,27,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10086699,-103.202944,Economy Class
Big Sky Lodge,Rapid City, SD ,57701,31,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.04498357,-103.2452524,Economy Class
Gold Star Motel,Rapid City, SD ,57701,26,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.08714031,-103.1981001,Economy Class
Thrifty Motor Inn,Rapid City, SD ,57701,26,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.09794169,-103.2023253,Economy Class
Econo Lodge Rapid City,Rapid City, SD ,57701,117,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10574968,-103.2015865,Economy Class
Quality Inn & Suites I 90 Rapid City,Rapid City, SD ,57701,97,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10008371,-103.2007248,Midscale Class
Town House Motel,Rapid City, SD ,57701,40,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.07904677,-103.2203244,Economy Class
Motel 6 Rapid City,Rapid City, SD ,57701,149,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10353543,-103.2006885,Economy Class
The Grand Gateway Hotel,Rapid City, SD ,57701,133,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10215109,-103.2043233,Upper Midscale Class
Ramada Rapid City,Rapid City, SD ,57701,209,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10384837,-103.2037442,Midscale Class
Travelodge Rapid City,Rapid City, SD ,57701,99,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.06090896,-103.2336502,Economy Class
Best Western Ramkota Hotel,Rapid City, SD ,57701,267,7.4,703 reviews,https://t-cf.bstatic.com/xdata/images/hotel/square200/110927611.jpg?k=ad38db4ab33f9a445aec9852cb19f9e86001d57d47070f6e5e75f188f156da72&o=,44.10554868,-103.2049582,Midscale Class
Super 8 Rapid City Lacrosse Street,Rapid City, SD ,57701,118,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10602971,-103.2024002,Economy Class
BW Premier Collection The Rushmore Hotel & Suites,Rapid City, SD ,57701,177,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.08210214,-103.2310456,Upscale Class
Americas Best Value Inn Rapid City,Rapid City, SD ,57701,95,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10563965,-103.2237611,Economy Class
Microtel Inn & Suites by Wyndham Rapid City,Rapid City, SD ,57701,73,7.2,"1,276 reviews",https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10253661,-103.2012893,Economy Class
Super 8 Rapid City Rushmore Road,Rapid City, SD ,57701,98,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.06109993,-103.2306921,Economy Class
Days Inn Rapid City,Rapid City, SD ,57701,76,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.08012682,-103.2503369,Economy Class
Avanti Motel,Rapid City, SD ,57701,36,NA,NA,,44.08333289,-103.2114246,Economy Class
Holiday Inn Express & Suites Rapid City I 90,Rapid City, SD ,57701,102,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10599493,-103.2005467,Upper Midscale Class
Lazy U Motel,Rapid City, SD ,57701,25,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.06376853,-103.2326847,Economy Class
Quality Inn Rapid City,Rapid City, SD ,57701,63,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.05996632,-103.2315904,Midscale Class
AmericInn Lodge & Suites Rapid City,Rapid City, SD ,57701,96,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10160145,-103.2013323,Midscale Class
Country Inn & Suites Rapid City,Rapid City, SD ,57701,103,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.10825617,-103.2031865,Upper Midscale Class
Motel Rapid,Rapid City, SD ,57702,34,NA,NA,,NA, NA,Economy Class
Happy Holiday Motel,Rapid City, SD ,57702,31,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.98919414,-103.2699073,Midscale Class
Canyon Lake Resort ,Rapid City, SD ,57702,22,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.05815889,-103.2941499,Economy Class
Family Inn,Rapid City, SD ,57702,28,NA,NA,,44.08802495,-103.2818991,Economy Class
Holiday Inn Express & Suites Rapid City Rushmore South,Rapid City, SD ,57702,99,NA,NA,,44.01677618,-103.2464269,Upper Midscale Class
