Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,image,lat,lon,Class
Ortman Hotel,Canistota, SD ,57012,27,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.5978707,-97.29160543,Economy Class
A Bridge View Inn,Chamberlain, SD ,57325,29,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.81210263,-99.33326789,Economy Class
Bel Aire Motel,Chamberlain, SD ,57325,35,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.80841392,-99.32859917,Economy Class
Best Western Lee's Motor Inn,Chamberlain, SD ,57325,55,7.7,230 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/252898692.jpg?k=bd0fc393ee54562090031207b5b072ef994ea580f0298b12a059a50a2cb14dc7&o=,43.81092976,-99.33329507,Midscale Class
Super 8 Chamberlain,Chamberlain, SD ,57325,54,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.79805237,-99.33731918,Economy Class
AmericInn Lodge & Suites Chamberlain,Chamberlain, SD ,57325,69,8,235 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.773291,-99.31318338,Midscale Class
Americas Best Value Inn & Suites Clear Lake,Clear Lake, SD ,57226,28,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,44.74856268,-96.68146714,Economy Class
Sylvan Lake Lodge,Custer, SD ,57730,67,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.84618837,-103.5643601,Luxury Class
Rock Crest Lodge & Cabins,Custer, SD ,57730,33,8.5,403 reviews,https://cf.bstatic.com/xdata/images/hotel/square200/153846399.jpg?k=b03fe24c9ae1879d3525f89f45f444db4e5f5d4708cb2e78da1fc5bfb85ed062&o=,43.76447838,-103.6093117,Luxury Class
Days Inn Custer,Custer, SD ,57730,48,6.5,228 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.7679687,-103.6008759,Economy Class
Comfort Inn & Suites Custer,Custer, SD ,57730,83,8.5,322 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.76393848,-103.6136298,Upper Midscale Class
Creekside Lodge,Custer, SD ,57730,30,NA,NA,,43.76272757,-103.379436,Luxury Class
Econo Lodge Custer,Custer, SD ,57730,45,7.7,158 reviews,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.76527748,-103.602014,Economy Class
Best Western Buffalo Ridge Inn,Custer, SD ,57730,88,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.76283186,-103.6124637,Midscale Class
Bavarian Inn,Custer, SD ,57730,64,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.77455536,-103.6084183,Luxury Class
State Game Lodge,Custer, SD ,57730,100,NA,NA,https://www.travelsouthdakota.com/themes/custom/mmg8_cog/dist/images/listing-placeholder.jpg,43.76454493,-103.3811395,Luxury Class
