Name_of_Establishment,City,State,Zip Code,Rooms,rating_from_booking.com,number_of_reviews,lat,lon,Class
Super 8 Custer Crazy Horse Area,Custer, SD ,57730,54,8.1,515 reviews,43.76342449,-103.6167612,Economy Class
Rocket Motel,Custer, SD ,57730,27,NA,NA,43.76548978,-103.6044434,Economy Class
Blue Bell Lodge & Resort,Custer, SD ,57730,29,NA,NA,43.71579089,-103.4840589,Luxury Class
Country Inn & Suites Dakota Dunes,Dakota Dunes, SD ,57049,67,8.4,223 reviews,42.50520278,-96.49524813,Upper Midscale Class
Holiday Inn Express & Suites Dakota Dunes Event Center,Dakota Dunes, SD ,57049,92,9.3,78 reviews,42.50677951,-96.48936763,Upper Midscale Class
De Smet Super Deluxe Inn & Suites,De Smet, SD ,57231,37,NA,NA,44.38196147,-97.54604665,Midscale Class
Cottage Inn Motel,De Smet, SD ,57231,35,NA,NA,44.3830384,-97.54923307,Economy Class
Historic Bullock Hotel,Deadwood, SD ,57732,28,8.4,353 reviews,44.37783109,-103.7290934,Upper Upscale Class
Holiday Inn Express & Suites Deadwood Gold Dust Casino,Deadwood, SD ,57732,78,NA,NA,44.37685897,-103.7298119,Upper Midscale Class
Mineral Palace Hotel,Deadwood, SD ,57732,63,8.3,522 reviews,44.37827204,-103.7284714,Upscale Class
Thunder Cove Inn,Deadwood, SD ,57732,34,NA,NA,44.36296803,-103.7381083,Economy Class
The Lodge @ Deadwood,Deadwood, SD ,57732,140,9,928 reviews,44.39469918,-103.7155234,Upper Upscale Class
Historic Franklin Hotel,Deadwood, SD ,57732,68,7.2,"1,255 reviews",44.37568195,-103.7313632,Upper Midscale Class
The Hotel by Gold Dust,Deadwood, SD ,57732,42,8.3,561 reviews,44.37670502,-103.7299785,Upper Upscale Class
Super 8 Deadwood,Deadwood, SD ,57732,51,8.2,408 reviews,44.36631875,-103.7335037,Economy Class
Holiday Inn Resort Deadwood Mountain Grand,Deadwood, SD ,57732,98,NA,NA,44.37414765,-103.7305829,Upper Midscale Class
Cedar Wood Inn,Deadwood, SD ,57732,23,9.2,417 reviews,44.36936361,-103.7307572,Midscale Class
Comfort Inn & Suites Deadwood,Deadwood, SD ,57732,69,NA,NA,44.36493815,-103.7327635,Upper Midscale Class
Deadwood Station Bunkhouse & Gambling Hall,Deadwood, SD ,57732,38,NA,NA,44.38834685,-103.7131165,Economy Class
Deadwood Gulch Gaming Resort,Deadwood, SD ,57732,87,NA,NA,44.36476526,-103.7363588,Upscale Class
Gold Country Inn,Deadwood, SD ,57732,53,NA,NA,44.37273218,-103.7347214,Economy Class
Black Hills Inn & Suites,Deadwood, SD ,57732,47,NA,NA,44.35431318,-103.7378031,Economy Class
Hickok House,Deadwood, SD ,57732,45,NA,NA,44.37631663,-103.730838,Upscale Class
DoubleTree by Hilton Deadwood at Cadillac Jack's,Deadwood, SD ,57732,107,8.6,343 reviews,44.38520048,-103.7206986,Upscale Class
Hampton Inn @ Tin Lizzie Gaming Resort,Deadwood, SD ,57732,59,NA,NA,44.37967682,-103.7255995,Upper Midscale Class
Tru by Hilton Deadwood,Deadwood, SD ,57732,108,NA,NA,44.38459316,-103.721712,Midscale Class
Springhill Suites Deadwood,Deadwood, SD ,57732,78,8.9,353 reviews,44.38566042,-103.7200033,Upscale Class
First Gold Hotel,Deadwood, SD ,57732,37,NA,NA,44.38655828,-103.7179569,Midscale Class
Travelodge Inn & Suites Deadwood,Deadwood, SD ,57732,162,8.1,635 reviews,44.38748071,-103.7163652,Economy Class
Bilmar Inn & Suites,Dell Rapids, SD ,57022,32,NA,NA,43.82588796,-96.72166173,Economy Class
Cheyenne River Motel,Eagle Butte, SD ,57625,40,NA,NA,45.00887228,-101.2364474,Economy Class
Cowboy Inn,Edgemont, SD ,57735,32,NA,NA,43.30431059,-103.8299377,Economy Class
